Rosalind_0057 Rosalind_0687
Rosalind_0512 Rosalind_2566
Rosalind_0512 Rosalind_3135
Rosalind_0512 Rosalind_6994
Rosalind_0605 Rosalind_7069
Rosalind_0605 Rosalind_7639
Rosalind_0687 Rosalind_7611
Rosalind_0687 Rosalind_7946
Rosalind_0710 Rosalind_3363
Rosalind_0710 Rosalind_6439
Rosalind_0710 Rosalind_8502
Rosalind_0994 Rosalind_3099
Rosalind_0994 Rosalind_9276
Rosalind_1002 Rosalind_6521
Rosalind_1002 Rosalind_8835
Rosalind_1037 Rosalind_1864
Rosalind_1251 Rosalind_0512
Rosalind_1251 Rosalind_3766
Rosalind_1251 Rosalind_6071
Rosalind_1410 Rosalind_5349
Rosalind_1563 Rosalind_5898
Rosalind_1563 Rosalind_8005
Rosalind_1817 Rosalind_8039
Rosalind_2008 Rosalind_7611
Rosalind_2008 Rosalind_7946
Rosalind_2011 Rosalind_5352
Rosalind_2134 Rosalind_2011
Rosalind_2134 Rosalind_7146
Rosalind_2473 Rosalind_7611
Rosalind_2473 Rosalind_7946
Rosalind_2479 Rosalind_7475
Rosalind_2511 Rosalind_1410
Rosalind_2511 Rosalind_9432
Rosalind_3004 Rosalind_4540
Rosalind_3099 Rosalind_7475
Rosalind_3135 Rosalind_4578
Rosalind_3135 Rosalind_9091
Rosalind_3363 Rosalind_7475
Rosalind_3370 Rosalind_1704
Rosalind_3370 Rosalind_6528
Rosalind_3766 Rosalind_7611
Rosalind_3766 Rosalind_7946
Rosalind_3799 Rosalind_5147
Rosalind_3799 Rosalind_6359
Rosalind_4190 Rosalind_0710
Rosalind_4190 Rosalind_5587
Rosalind_4190 Rosalind_7539
Rosalind_4317 Rosalind_1002
Rosalind_4317 Rosalind_7729
Rosalind_4524 Rosalind_1743
Rosalind_4524 Rosalind_9624
Rosalind_4540 Rosalind_1704
Rosalind_4540 Rosalind_6528
Rosalind_4557 Rosalind_2134
Rosalind_4557 Rosalind_9215
Rosalind_4578 Rosalind_5255
Rosalind_4578 Rosalind_9240
Rosalind_4931 Rosalind_7611
Rosalind_4931 Rosalind_7946
Rosalind_5354 Rosalind_6328
Rosalind_5354 Rosalind_7573
Rosalind_5354 Rosalind_8585
Rosalind_5460 Rosalind_3099
Rosalind_5460 Rosalind_9276
Rosalind_5503 Rosalind_1704
Rosalind_5503 Rosalind_6528
Rosalind_5587 Rosalind_0670
Rosalind_5587 Rosalind_7701
Rosalind_5587 Rosalind_9362
Rosalind_5898 Rosalind_0057
Rosalind_5932 Rosalind_0605
Rosalind_5932 Rosalind_9303
Rosalind_5984 Rosalind_6521
Rosalind_5984 Rosalind_8835
Rosalind_6058 Rosalind_4578
Rosalind_6058 Rosalind_9091
Rosalind_6071 Rosalind_0994
Rosalind_6247 Rosalind_2479
Rosalind_6247 Rosalind_4317
Rosalind_6247 Rosalind_7113
Rosalind_6328 Rosalind_0605
Rosalind_6328 Rosalind_9303
Rosalind_6353 Rosalind_4557
Rosalind_6353 Rosalind_6058
Rosalind_6353 Rosalind_7898
Rosalind_6359 Rosalind_7497
Rosalind_6439 Rosalind_1251
Rosalind_6439 Rosalind_5932
Rosalind_6439 Rosalind_7776
Rosalind_6466 Rosalind_4190
Rosalind_6466 Rosalind_4524
Rosalind_6466 Rosalind_6247
Rosalind_6521 Rosalind_7611
Rosalind_6521 Rosalind_7946
Rosalind_6528 Rosalind_3363
Rosalind_6528 Rosalind_6439
Rosalind_6528 Rosalind_8502
Rosalind_6874 Rosalind_1251
Rosalind_6874 Rosalind_5932
Rosalind_6874 Rosalind_7776
Rosalind_6994 Rosalind_7475
Rosalind_7069 Rosalind_0670
Rosalind_7069 Rosalind_7701
Rosalind_7069 Rosalind_9362
Rosalind_7113 Rosalind_2949
Rosalind_7146 Rosalind_3099
Rosalind_7146 Rosalind_9276
Rosalind_7475 Rosalind_0057
Rosalind_7539 Rosalind_0512
Rosalind_7539 Rosalind_3766
Rosalind_7539 Rosalind_6071
Rosalind_7573 Rosalind_0710
Rosalind_7573 Rosalind_5587
Rosalind_7573 Rosalind_7539
